,movie_id,title,release_date,genre_ids,vote_avg,vote_count,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
263,429300,Adrift,2018-06-01,Thriller,6.8,1448,59945012,31445012,28500000,52.5,47.5
264,429351,12 Strong,2018-01-19,Action,5.8,1471,67450815,45819713,21631102,67.9,32.1
265,429417,Ghost Stories,2018-04-20,Drama,6.5,641,4131358,148747,3982611,3.6,96.4
266,429467,The Lodgers,2017-10-10,Drama,4.9,240,916727,7362,909365,0.8,99.2
267,429476,Hell Fest,2018-09-28,Horror,5.6,388,18159691,11107431,7052260,61.2,38.8
268,430040,The Hurricane Heist,2018-03-09,Action,5.5,545,32517248,6115825,26401423,18.8,81.2
269,430231,The Endless,2018-04-06,Horror,6.3,384,956425,272020,684405,28.4,71.6
270,430450,Sollers Point,2018-05-11,Drama,5.4,8,32608,32608,0,100.0,0.0
271,431185,He's Out There,2018-10-16,Horror,5.6,110,544674,0,544674,0.0,100.0
272,431491,Bodied,2018-11-02,Comedy,7.9,47,113956,113956,0,100.0,0.0
273,432165,The Pagan King,2018-09-14,History,6.4,20,18598,0,18598,0.0,100.0
274,432301,Chappaquiddick,2018-04-06,Drama,6.0,136,17986671,17395520,591151,96.7,3.3
275,432383,Luis and the Aliens,2018-12-31,Adventure,6.2,59,12627729,169710,12458019,1.3,98.7
276,432507,Claire's Camera,2018-03-09,Drama,6.4,19,191980,83418,108562,43.5,56.5
277,432527,Padmaavat,2018-01-25,Drama,6.9,136,22991060,11846060,11145000,51.5,48.5
278,433498,Papillon,2018-08-24,Crime,7.4,776,4516580,2335896,2180684,51.7,48.3
279,433627,7 Days in Entebbe,2018-03-16,Crime,5.8,212,8771432,3326885,5444547,37.9,62.1
280,433694,Sgt. Stubby: An American Hero,2018-04-13,Adventure,6.3,18,4932694,4015935,916759,81.4,18.6
281,434555,The Possession of Hannah Grace,2018-11-30,Drama,5.2,550,43016528,14837422,28179106,34.5,65.5
282,434596,An Actor Prepares,2018-08-31,Comedy,6.3,15,5891,1743,4148,29.6,70.4
283,434674,The Happys,2018-03-16,Drama,0.0,0,21108,21108,0,100.0,0.0
284,434767,God Bless the Broken Road,2018-09-07,Drama,6.5,10,2848233,2846257,1976,99.9,0.0
285,435557,The Party's Just Beginning,2018-12-07,Drama,6.9,24,4371,4145,226,94.8,5.2
286,436120,Lu Over the Wall,2018-05-11,Adventure,7.6,36,161253,109857,51396,68.1,31.9
287,436355,Vazante,2018-01-12,Drama,8.2,9,25091,23884,1207,95.2,4.8
288,436373,Primal Rage,2018-02-27,Horror,5.2,58,73383,21497,51886,29.3,70.7
289,437220,Have a Nice Day,2018-02-02,Animation,5.0,13,504003,79393,424610,15.8,84.2
290,437543,The Monkey King 3,2018-02-16,Action,5.8,22,115084576,187074,114897502,0.2,99.8
291,437557,Blockers,2018-04-06,Comedy,6.2,1111,94017294,60311495,33705799,64.1,35.9
292,437583,November,2018-02-23,Drama,7.7,45,19084,19084,0,100.0,0.0
293,437586,Mid90s,2018-10-19,Comedy,7.3,484,9303022,7362439,1940583,79.1,20.9
294,438145,Black '47,2018-09-28,Drama,6.7,118,2073063,57520,2015543,2.8,97.2
295,438259,Journey's End,2018-03-16,Drama,6.3,102,970809,161796,809013,16.7,83.3
296,438590,A-X-L,2018-08-24,Action,5.8,501,8467697,6501381,1966316,76.8,23.2
297,438799,Overlord,2018-11-09,Horror,6.6,1328,41657844,21704844,19953000,52.1,47.9
298,438808,White Boy Rick,2018-09-14,Crime,6.3,408,25957482,24011188,1946294,92.5,7.5
299,439015,Slender Man,2018-08-10,Horror,4.0,864,51738549,30569484,21169065,59.1,40.9
300,439079,The Nun,2018-09-07,Horror,5.6,3262,365550119,117450119,248100000,32.1,67.9
302,439988,Hitler's Hollywood,2018-04-11,Documentary,6.1,9,43766,43766,0,100.0,0.0
303,440095,El Mar La Mar,2018-02-23,Documentary,10.0,2,9065,9065,0,100.0,0.0
304,440161,The Sisters Brothers,2018-09-21,Comedy,7.0,828,13143056,3143056,10000000,23.9,76.1
305,440298,Cold War,2019-03-22,Drama,7.6,673,20272780,4580048,15692732,22.6,77.4
306,440424,Freak Show,2018-01-12,Comedy,7.3,58,20657,19696,961,95.3,4.7
307,442062,Goosebumps 2: Haunted Halloween,2018-10-12,Adventure,5.7,605,93320380,46700633,46619747,50.0,50.0
308,442064,Proud Mary,2018-01-12,Action,5.4,276,21753365,20877013,876352,96.0,4.0
309,442249,The First Purge,2018-07-04,Action,5.8,2125,137056262,69488745,67567517,50.7,49.3
310,442709,Nostalgia,2018-02-16,Drama,6.5,13,114603,114603,0,100.0,0.0
311,443009,"Don't Worry, He Won't Get Far on Foot",2018-07-13,Comedy,6.6,262,5586078,2793039,2793039,50.0,50.0
312,443463,Leave No Trace,2018-06-29,Drama,6.7,505,7682928,6046104,1636824,78.7,21.3
313,444431,Foxtrot,2018-03-02,Drama,7.1,85,1356159,618883,737276,45.6,54.4
314,445147,The Cage Fighter,2018-02-02,Action,6.7,3,3392,3392,0,100.0,0.0
315,445571,Game Night,2018-02-23,Comedy,6.9,3145,117679066,69179066,48500000,58.8,41.2
316,445651,The Darkest Minds,2018-08-03,Science Fiction,6.8,1428,41142379,12695691,28446688,30.9,69.1
317,446021,Bad Times at the El Royale,2018-10-12,Thriller,6.8,1828,31882724,17839115,14043609,56.0,44.0
318,446101,Assassination Nation,2018-09-21,Comedy,6.2,335,2584988,2005142,579846,77.6,22.4
319,446171,Mrs. Hyde,2018-04-27,Fantasy,4.1,47,778142,18627,759515,2.4,97.6
320,446695,An Evening with Beverly Luff Linn,2018-10-19,Comedy,6.2,33,27359,6701,20658,24.5,75.5
321,446696,Life Itself,2018-09-21,Drama,7.2,152,7884399,4102648,3781751,52.0,48.0
322,446807,The Girl in the Spider's Web,2018-11-09,Action,6.0,675,35164920,14841338,20323582,42.2,57.8
323,446827,Prodigy,2017-03-04,Drama,6.8,56,21150265,14856291,6293974,70.2,29.8
324,446894,Smallfoot,2018-09-28,Adventure,6.6,733,214040103,83240103,130800000,38.9,61.1
325,447200,Skyscraper,2018-07-13,Action,6.1,2526,304868961,68420120,236448841,22.4,77.6
327,447302,Weekend,2018-08-31,,0.0,0,4215,4215,0,100.0,0.0
328,447332,A Quiet Place,2018-04-06,Drama,7.3,6719,340939361,188024361,152915000,55.1,44.9
329,447682,Boundaries,2018-06-22,Comedy,6.0,20,755977,703438,52539,93.1,6.9
330,448095,I Still See You,2018-10-12,Fantasy,6.8,297,1620637,1359,1619278,0.0,99.9
331,448677,Head Full of Honey,2018-11-30,Drama,6.6,19,138844,12350,126494,8.9,91.1
332,448776,A Prayer Before Dawn,2018-08-10,Action,6.8,210,958883,14453,944430,1.5,98.5
333,449176,"Love, Simon",2018-03-16,Comedy,8.1,3599,66316289,40826341,25489948,61.6,38.4
334,449443,Den of Thieves,2018-01-19,Action,6.6,1423,80509622,44947622,35562000,55.8,44.2
335,449848,The Boy Downstairs,2018-02-16,Romance,5.8,19,73988,13638,60350,18.4,81.6
336,450484,An L.A. Minute,2018-08-24,,0.0,0,5004,5004,0,100.0,0.0
337,451204,The Last Movie Star,2018-03-30,Drama,6.4,36,14410,14410,0,100.0,0.0
338,451422,Little Pink House,2018-04-20,Drama,6.3,11,220948,220948,0,100.0,0.0
339,451915,Beautiful Boy,2018-10-12,Drama,7.6,746,17877506,8986631,8890875,50.3,49.7
340,451919,What They Had,2018-10-19,Drama,6.7,39,533579,260136,273443,48.8,51.2
341,451925,Time Freak,2018-11-09,Comedy,6.3,138,266490,10003,256487,3.8,96.2
342,452226,The King,2018-06-22,Documentary,6.0,4,273601,259291,14310,94.8,5.2
343,453201,The 15:17 to Paris,2018-02-09,Drama,5.4,904,57076286,36276286,20800000,63.6,36.4
344,453278,The Rider,2018-04-13,Drama,7.3,183,3434963,2419031,1015932,70.4,29.6
345,453354,Ava,2017-11-14,Drama,6.1,68,22991060,11846060,11145000,51.5,48.5
348,454283,Action Point,2018-06-01,Comedy,5.2,175,5103663,5059608,44055,99.1,0.9
349,454286,God's Not Dead: A Light in Darkness,2018-03-30,Drama,6.8,55,7414178,5728940,1685238,77.3,22.7
